"item_id","number_of_shops"
"B000B9PW6M",2
"B000B9PW76",2
"B000B9TVDW",2
"B000BAVWA6",2
"B000BDIW9M",2
"B000BEPLWM",2
"B000BFHW1E",2
"B000BFHW1O",2
"B000BKSHHW",2
"B000BNTAW0",2
"B000BNTAWK",2
"B000BOIV4W",2
"B000BQV8HW",2
"B000BS6XZW",2
"B000BUNW8Q",2
"B000BUNYWA",2
"B000BUNYWK",2
"B000BW9BKC",2
"B000BW9BZM",2
"B000BW9BZW",2
"B000BW9HLK",2
"B000BWPQZ6",2
"B000CAKWNS",2
"B000CEZW6Q",2
"B000CFWGFK",2
